C:\Users\user\Desktop\COVID>python train.py --batch-size 12 --epochs 30 
Train : 28 [480/1000 (48%)]     Loss: 0.000000
Train : 28 [600/1000 (60%)]     Loss: 0.000001
Train : 28 [720/1000 (71%)]     Loss: 0.000003
Train : 28 [840/1000 (83%)]     Loss: 0.000441
Train : 28 [960/1000 (95%)]     Loss: 0.000000
Train : 29 [0/1000 (0%)]        Loss: 0.000000
Train : 29 [120/1000 (12%)]     Loss: 0.000000
Train : 29 [240/1000 (24%)]     Loss: 0.000003
Train : 29 [360/1000 (36%)]     Loss: 0.000000
Train : 29 [480/1000 (48%)]     Loss: 0.000000
Train : 29 [600/1000 (60%)]     Loss: 0.000002
Train : 29 [720/1000 (71%)]     Loss: 0.000000
Train : 29 [840/1000 (83%)]     Loss: 0.000004
